,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2012-03-31,0.79210,0.55790,1.30350,100.00000,25.82440,25.82440,13.68430,6.75030,0.04390,3.18080,28.29480,1.15860,1.60930,0.34960,0.51170,24.15120,0.83660,2.12460
2011-12-31,0.93860,0.55840,1.39260,100.00000,27.67860,27.67860,15.95270,10.13600,0.04330,3.38290,26.60400,1.43820,2.00040,0.41230,0.63450,24.13920,1.3171,-0.3835
2011-09-30,1.07210,0.55810,1.36080,100.00000,36.98520,36.98520,27.19130,18.06120,0.05230,3.30990,27.19120,3.01730,4.18870,0.88380,1.33200,24.29060,1.7747,0.4757
2011-06-30,1.12470,0.56400,1.40380,100.00000,30.10960,30.10960,18.85020,12.12640,0.04660,2.96440,30.36050,1.79940,2.52170,0.52150,0.78370,23.72610,0.5698,-0.612
2011-03-31,1.15040,0.56470,1.37840,100.00000,24.00640,24.00640,11.50370,4.39620,0.04220,3.15150,28.55830,0.98160,1.38130,0.28810,0.42680,23.67110,0.91750,-0.08370
2010-12-31,1.31720,0.56750,1.37640,100.00000,25.12730,25.12730,11.80740,6.64350,0.04290,2.92930,30.72440,0.92090,1.29650,0.26990,0.39830,23.58750,1.0718,-0.3173
2010-09-30,0.84620,0.56610,1.35920,100.00000,35.41650,35.41650,26.05220,16.57170,0.05360,2.79210,32.23340,2.88920,4.13710,0.85350,1.25230,23.65180,1.6518,0.5415
2010-06-30,0.78320,0.56860,1.39440,100.00000,29.53950,29.53950,18.04840,11.45850,0.04610,2.66440,33.77820,1.68400,2.43530,0.49390,0.72570,23.13640,0.6947,-0.3608
2010-03-31,0.75210,0.56880,1.36780,100.00000,21.78130,21.78130,8.53070,5.43580,0.04190,2.51860,35.73470,0.74220,1.07810,0.21920,0.31970,22.91730,1.00680,0.19110
2009-12-31,0.82180,0.57010,1.36960,100.00000,32.65480,32.65480,15.27660,8.12610,0.03330,2.00360,44.91920,1.23610,1.79510,0.36760,0.53080,22.93660,0.8458,-0.429
2009-09-30,0.85990,0.56670,1.34090,100.00000,31.21830,31.21830,20.85440,13.47680,0.05090,2.84360,31.65040,2.29820,3.34230,0.68660,0.99460,22.86260,1.2988,0.3604
2009-06-30,0.62530,0.56000,1.36600,100.00000,25.40340,25.40340,14.05590,8.48470,0.04650,2.91280,30.89850,1.32350,1.93790,0.39420,0.58160,22.52930,0.5099,-0.7144
2009-03-31,0.35970,0.56100,1.47110,100.00000,-61.22800,-61.22800,-73.16070,-75.08210,0.04260,2.87710,31.28140,-11.28530,-17.10430,-3.20040,-4.94770,22.90120,0.89060,-0.33420
