,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2016-06-30,1.32950,0.49550,0.98230,30.02590,3.34270,3.34270,2.43360,1.93590,0.18160,1.68700,1.68700,0.35150,0.85100,5.63490,-0.5163,-0.541
2016-03-31,1.40930,0.50590,1.02370,30.04470,2.52600,2.52600,2.03700,1.41280,0.17380,1.19360,1.19360,0.24560,0.58980,5.41040,-0.52190,-0.54110
2015-12-31,1.53890,0.51610,1.06650,31.47900,3.28490,3.28490,1.13700,2.36810,0.17870,1.94200,1.94200,0.42320,0.93970,5.19560,-0.5638,-0.5937
2015-09-30,1.66690,0.52550,1.10740,32.46730,4.23620,4.23620,2.42980,1.69310,0.17530,1.35800,1.35800,0.29680,0.64440,5.07110,-0.4454,-0.5315
2015-06-30,1.73930,0.54150,1.18110,31.79570,4.55010,4.55010,2.46190,1.60120,0.17030,1.29600,1.29600,0.27280,0.59420,4.77010,-0.4143,-0.4773
2015-03-31,1.84090,0.55690,1.25710,33.48280,6.19500,6.19500,2.44260,1.50630,0.17020,1.24110,1.24110,0.25640,0.54990,4.49920,-0.29360,-0.32370
2014-12-31,1.47460,0.32290,0.47690,31.68230,4.38100,4.38100,3.06560,5.61520,0.21080,4.48780,4.48780,1.18380,3.03880,4.39270,-0.0888,-0.1249
2014-09-30,1.50020,0.34290,0.52180,32.28520,7.83340,7.83340,6.92030,4.20700,0.20790,3.43760,3.43760,0.87480,2.25900,4.09010,-0.0871,-0.1356
2014-06-30,1.57100,0.35860,0.55910,31.74850,9.66870,9.66870,8.75640,5.29820,0.21190,4.41190,4.41190,1.12270,2.82970,3.82680,0.1297,0.0838
2014-03-31,1.58450,0.37840,0.60880,31.56500,7.68410,7.68410,7.00300,4.18200,0.21000,3.59280,3.59280,0.87820,2.23330,3.52340,0.08440,0.05340
2013-12-31,1.41990,0.27270,0.37490,30.16880,7.00190,7.00190,6.29700,4.12010,0.21710,3.63100,3.63100,0.89460,2.64080,3.19610,0.0979,0.0433
2013-09-30,1.47240,0.29340,0.41520,27.76670,5.16460,5.16460,4.47480,2.87720,0.22570,2.64220,2.64220,0.64930,1.86710,2.90350,0.081,0.0559
2013-06-30,1.53890,0.31140,0.45220,28.86720,5.34120,5.34120,4.36230,2.75590,0.23870,2.66560,2.66560,0.65770,1.83550,2.68060,0.0802,0.0614
2013-03-31,1.51420,0.46270,0.86110,28.02930,3.10770,3.10770,0.09080,0.26260,0.23470,0.33080,0.33080,0.06160,0.17770,2.06850,-0.02910,-0.05790
2012-12-31,1.33700,0.34940,0.53710,23.61100,2.07760,2.07760,1.57670,0.83550,0.23820,1.06050,1.06050,0.19900,0.68990,1.91380,-0.0342,-0.0858
2012-09-30,1.39220,0.35820,0.55800,26.78750,1.78270,1.78270,1.31990,0.84800,0.23760,1.07070,1.07070,0.20150,0.68720,1.84360,-0.007,-0.0333
2012-06-30,1.42630,0.36760,0.58120,27.63670,1.81680,1.81680,1.19830,0.69320,0.25560,0.89560,0.89560,0.17720,0.56640,1.77040,0.0444,0.0369
2012-03-31,1.42310,0.37620,0.60300,28.26630,-0.22250,-0.22250,-0.80770,-0.52700,0.24990,-0.69100,-0.69100,-0.13170,-0.43110,1.70710,0.04920,0.03690
2011-12-31,1.49450,0.38360,0.62230,34.31120,7.06640,7.06640,6.49120,4.02240,0.28530,5.47890,5.47890,1.14750,3.37730,1.65760,0.1659,0.1389
