,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2012-12-31,1.97620,0.19870,0.24800,29.56750,16.45840,16.45840,15.91220,10.66320,0.25960,1.05620,1.56550,57.49080,5.05180,21.04990,2.75420,4.04810,13.43740,1.2784,1.1624
2012-09-30,2.18990,0.26010,0.35170,29.14930,16.48110,16.48110,15.72160,10.72070,0.24520,1.06310,1.36580,65.89710,5.11720,21.78250,2.62910,3.78600,12.85340,0.8606,0.7835
2012-06-30,2.07780,0.27740,0.38390,28.43910,16.54010,16.54010,16.00130,10.55870,0.26150,1.12240,1.37920,65.25320,5.60690,27.82880,2.77510,4.05150,12.05130,0.3052,0.2406
2012-03-31,2.08010,0.25560,0.34330,29.03800,16.13380,16.13380,15.47590,10.15950,0.26280,1.11650,1.47120,61.17530,5.27290,21.47070,2.66990,3.92530,11.66650,0.01010,-0.09430
2011-12-31,1.95020,0.27420,0.37790,27.55770,13.56220,13.56220,13.06340,8.49400,0.24760,1.11240,1.54390,58.29220,4.41590,22.81690,2.14280,3.20500,10.92530,1.5383,1.379
2011-09-30,2.09520,0.26520,0.40040,29.49860,15.12570,15.12570,14.06460,9.34170,0.24870,1.08250,1.43990,62.50350,4.59450,22.06320,2.32350,3.37600,10.57290,0.3526,0.2551
2011-06-30,2.04310,0.25910,0.38910,29.80670,11.76910,11.76910,10.89140,7.58700,0.23810,1.08030,1.42240,63.27130,3.56800,18.44960,1.80630,2.64340,10.55360,0.5106,0.4579
2011-03-31,2.21490,0.27080,0.41260,29.25700,14.58010,14.58010,13.87190,8.99530,0.24000,1.13020,1.48930,60.43120,4.22350,24.58800,2.15860,3.07990,10.06430,0.17080,0.09430
2010-12-31,2.30200,0.29720,0.46720,30.00400,13.05790,13.05790,12.15340,7.72170,0.21810,1.08580,1.52330,59.08190,3.42930,22.02760,1.71820,2.41020,9.41930,1.0518,0.967
2010-09-30,2.33060,0.29750,0.46940,29.07510,13.47670,13.47670,12.20260,8.12970,0.22030,1.07100,1.41890,63.43070,3.49820,20.45130,1.79070,2.45750,9.10640,0.5292,0.4735
2010-06-30,2.35670,0.31420,0.50550,30.32690,13.27110,13.27110,12.46760,8.34210,0.22920,1.08870,1.35950,66.20060,3.86780,25.03450,1.91220,2.65250,8.41180,0.1245,0.0898
2010-03-31,2.31120,0.32450,0.52350,29.78320,14.06220,14.06220,12.78910,8.34340,0.22210,1.05990,1.46770,61.31840,3.78950,29.05480,1.85350,2.55970,8.35220,0.12910,0.09150
2009-12-31,2.25810,0.31550,0.50300,27.74650,11.63680,11.63680,10.19630,6.73880,0.22650,1.08440,1.72470,52.18270,3.10750,22.34890,1.52630,2.12710,8.16660,0.7193,0.6465
2009-09-30,2.49530,0.34730,0.57450,28.69560,13.84730,13.84730,12.85080,8.27590,0.20980,0.96230,1.43070,62.90810,3.63410,16.37260,1.73660,2.37210,7.91150,0.5762,0.5538
2009-06-30,2.10220,0.31300,0.50030,27.44290,10.99570,10.99570,9.90020,9.23200,0.22870,0.97100,1.32650,67.84710,4.38370,24.47300,2.11180,3.01150,7.40130,0.4555,0.4007
2009-03-31,2.08950,0.33470,0.54970,28.35620,14.74970,14.74970,13.54670,8.64270,0.26600,1.06890,1.45590,61.81770,4.95370,31.81900,2.29890,3.29570,6.88820,-0.05960,-0.05750
