,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2013-09-30,200,292,30,322,107,-98,13,-96,-74,448,-461,0,-4,-4,39,-426,57,55,112,10,10,-114,-5,3,25,-114
2013-06-30,107,276,61,337,148,-88,97,69,226,670,-512,0,-4,-4,-63,-579,-375,216,-159,9,9,-108,-5,-263,-172,-108
2013-03-31,235.00000,268.00000,56.00000,324.00000,-78.00000,221.00000,-126.00000,21.00000,38.00000,597.00000,-378.00000,,-4.00000,-4.00000,50.00000,-332.00000,231.00000,-240.00000,-9.00000,10.00000,10.00000,-107.00000,-6.00000,-112.00000,153.00000,-107.00000
2012-12-31,83,275,39,314,-185,30,75,163,83,480,-580,57,8,8,-70,-585,72,142,214,10,10,-107,-6,111,6,-107
2012-09-30,230,290,5,295,117,-76,-31,-6,43,568,-378,0,-5,-5,31,-352,-308,59,-249,9,9,-101,-1,-342,-126,-101
2012-06-30,147,250,35,285,39,-44,49,81,109,541,-443,0,-4,-4,-42,-489,442,-274,168,10,10,-100,-2,76,128,-100
2012-03-31,158.00000,232.00000,39.00000,271.00000,81.00000,125.00000,-53.00000,61.00000,191.00000,620.00000,-381.00000,,-4.00000,-4.00000,42.00000,-343.00000,-86.00000,-106.00000,-192.00000,10.00000,10.00000,-99.00000,-7.00000,-288.00000,-11.00000,-99.00000
2011-12-31,157,289,70,359,-110,-14,11,386,6,522,-450,0,11,11,-69,-508,-23,143,120,0,0,-100,-12,8,22,-100
2011-09-30,185,259,101,360,116,-92,-61,-206,-218,327,-306,0,-11,-11,32,-285,-79,125,46,0,0,-99,-4,-57,-15,-99
2011-06-30,200,248,-37,211,65,-23,27,-285,26,437,-444,0,-9,-9,-70,-523,-80,151,71,-9,-9,-95,-17,-50,-136,-95
2011-03-31,178.00000,245.00000,59.00000,304.00000,,,,240.00000,240.00000,722.00000,-266.00000,,-8.00000,-8.00000,30.00000,-244.00000,-94.00000,-150.00000,-244.00000,-9.00000,-9.00000,-95.00000,2.00000,-346.00000,132.00000,-95.00000
2010-12-31,156,252,274,526,-278,67,26,83,-366,316,-253,0,-8,-8,-131,-392,16,130,146,10,10,-95,-4,57,-19,-95
2010-09-30,166,271,105,376,97,-166,-21,-73,-184,358,-299,0,-57,-57,14,-342,26,20,46,3,3,-89,-16,-56,-40,-89
2010-06-30,87,253,36,289,146,-122,54,-81,-42,334,-265,0,-8,-8,-48,-321,-1,0,-1,14,14,-88,-7,-82,-69,-88
2010-03-31,230.00000,251.00000,37.00000,288.00000,114.00000,88.00000,-47.00000,65.00000,299.00000,817.00000,-226.00000,,-9.00000,-9.00000,64.00000,-171.00000,-90.00000,-327.00000,-417.00000,9.00000,9.00000,-88.00000,-9.00000,-505.00000,141.00000,-88.00000
2009-12-31,121,282,50,332,167,28,-162,-384,-308,145,-168,0,-6,-6,-95,-269,-2,122,120,8,8,-88,53,93,-31,-88
2009-09-30,151,266,57,323,0,0,0,-101,-101,373,-203,0,-21,-21,39,-185,-65,4,-61,9,9,-87,-8,-147,41,-87
2009-06-30,84,240,25,265,-119,-106,113,263,113,462,-285,0,-8,-8,-61,-354,94,-129,-35,9,9,-87,-41,-154,-46,-87
2009-03-31,179.00000,232.00000,63.00000,295.00000,119.00000,106.00000,-113.00000,215.00000,365.00000,839.00000,-296.00000,,,,40.00000,-256.00000,-86.00000,-414.00000,-500.00000,9.00000,9.00000,-86.00000,-4.00000,-581.00000,2.00000,-86.00000
