,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2011-06-30,-112.17,-10.03,0,-10.03,0,0,0,0,-26.18,-148.02,21.55,0,0,0,0,-329.4,402.86,95.01,0,0,0,-4.62,0,0.002,-4.61,-58.71,0,0
2011-03-31,112.17000,10.03000,,10.03000,,,,,26.18000,148.02000,-21.55000,,0.00000,,,329.40000,-402.86000,-95.01000,0.00000,0.00000,,4.62000,0.00000,-0.00200,4.61000,58.71000,,
2010-12-31,338.18,35.17,0,35.17,0,0,0,0,28.28,432.56,-45.09,0,0,0,0,-348.11,-3.93,-397.14,0,0,0,3.65,0,0.002,3.65,36.94,0,0
2010-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-30,-65.79,-8.62,0,-8.62,0,0,0,0,-16.27,-99.11,8.81,0,0,0,0,45.12,-13.16,40.77,0,0,0,-0.75,0,0,-0.75,-58.86,0,0
2010-03-31,65.79000,8.62000,,8.62000,,,,,16.27000,99.11000,-8.81000,,0.00000,,,-45.12000,13.16000,-40.77000,0.00000,0.00000,,0.75000,0.00000,,0.75000,58.86000,,
2009-12-31,269.09,21.03,0,21.03,0,0,0,0,16.61,306.84,-59.71,0,0,0,0,-189.32,-30.42,-279.46,0,0,0,5.93,0,0,5.93,36.31,0,0
2009-09-30,-68.53,-2.99,0,-2.99,0,0,0,0,-12.48,-79.7,35.05,0,0,0,0,-51.17,30.19,14.08,0,0,0,-5.12,0,0,-5.12,-71.72,0,0
2009-06-30,7.55,-0.22,0,-0.22,0,0,0,0,3.19,-3.39,-31.69,0,0,0,0,51.17,50.26,69.73,0,0,0,4.75,0,0,4.75,71.89,0,0
2009-03-31,60.98000,3.21000,,3.21000,,,,,9.29000,83.09000,-3.36000,,0.00000,,,0.00000,-80.45000,-83.81000,0.00000,0.00000,,0.37000,0.00000,,0.37000,-0.17000,,
