,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2011-12-31,129.894,124.237,8.4,132.637,-236.584,-39.052,185.568,70.511,31.555,294.086,-113.774,0,-80.51,-1.623,-1.623,16.918,-178.989,-180.046,-38.336,-218.382,2.703,2.703,0,-17.024,-232.703,-137.781,9.773,0
2011-09-30,157.378,141.574,109.349,250.923,217.914,-41.55,-107.461,-158.734,-125.309,282.992,-54.661,0,0,0.811,0.811,12.398,-41.452,-3.686,17.798,14.112,3.869,3.869,0,-147.92,-129.939,77.898,11.605,0
2011-06-30,146.986,125.326,-48.923,76.403,-121.558,-70.271,27.512,46.615,-34.463,188.926,-70.074,0,0,-0.157,-0.157,2.006,-68.225,-1.261,10.485,9.224,-311.975,-311.975,0,2.418,-300.333,-173.148,10.941,0
2011-03-31,104.54500,119.55100,75.91900,195.47000,-178.64200,-69.72700,28.04700,-123.33500,-345.59500,-45.58000,-41.33900,,,-2.16200,-2.16200,0.12600,-43.37500,-1.20500,-5.56100,-6.76600,23.14300,23.14300,,1.60200,17.97900,-53.96500,10.25700,
2010-12-31,20.799,112.916,198.414,311.33,-42.856,-25.388,14.656,-23.449,-137.673,194.456,-96.522,0,-6.653,0.142,0.142,-1.677,-104.71,-22.845,17.621,-5.2242,17.438,17.438,-34.759,-5.38,-27.925,51.131,7.229,-34.759
2010-09-30,143.54,104.939,-0.102,104.837,171.565,-25.313,-46.504,69.601,129.436,377.813,-38.023,0,-556.112,-7.723,-7.723,35.55,-566.308,15.583,-22.662,-7.0789,1.208,1.208,-34.758,-3.31,-43.939,-198.5,8.539,-34.758
2010-06-30,86.933,102.467,111.986,214.453,-110.573,13.405,6.064,-16.702,-182.924,118.462,-33.142,0,0,6.617,6.617,-0.117,-26.642,249.271,23.858,273.129,11.04,11.04,-34.759,-20.394,229.016,286.978,8.367,-34.759
2010-03-31,94.27000,102.46600,-47.39300,55.07300,3.72900,-57.43200,48.80500,-99.68600,91.33000,240.67300,-20.15800,,,-1.99000,-1.99000,-5.60200,-27.75000,-0.77800,-46.23200,-47.01000,24.96700,24.96700,-34.75900,,-56.80200,141.92700,7.25000,-34.75900
2009-12-31,47.423,104.208,5.508,109.716,-224.188,8.922,62.098,111.316,-98.614,58.525,-71.267,0,-25.452,-10.692,-34.025,78.689,-52.055,-196.505,8.828,-187.677,10.82,10.82,-34.759,0,-211.616,-203.895,7.575,-34.759
2009-09-30,-4.42,103.588,143.122,246.71,-0.253,-11.033,5.318,60.537,-31.956,210.334,-30.128,0,-37.85,-1.427,-1.427,-7.215,-76.62,25.085,18.476,43.561,7.386,7.386,-34.758,0.023,16.212,154.934,8.939,-34.758
2009-06-30,95.671,98.724,-49.947,48.777,6.455,3.541,-34.475,28.317,65.442,209.89,-21.913,0,-173.359,9.829,33.162,-14.612,-176.722,-20.612,-11.768,-32.38,0.908,0.908,-34.759,-0.869,-67.1,-23.585,6.247,-34.759
2009-03-31,109.07400,94.63700,11.19400,105.83100,42.18800,18.68000,-28.69700,-86.63300,-88.57900,126.32600,-31.09400,,,2.29000,2.29000,-0.79700,-29.60100,-151.55200,-6.96800,-158.52000,0.50900,0.50900,-34.75900,0.84600,-191.92400,-104.08500,8.40500,-34.75900
