,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2012-09-30,53.507,137.013,13.612,150.625,8.238,8.3,212.432,-815.842,0,-60.785,-9.606,-70.391,16.461,-869.772,-402.881,-402.881,2415.967,2415.966,-176.034,-2.354,1834.697,1177.357,2.595,-176.034
2012-06-30,76.871,136.545,-44.25,92.295,-14.683,7.828,176.994,-463.961,0,4.855,1.084,5.939,-231.983,-690.005,673.608,673.608,32.488,-242.725,-175.303,-6.891,248.689,-264.322,2.311,-175.303
2012-03-31,57.45800,132.15400,3.46100,135.61500,-12.87300,-19.02900,174.04400,-537.61600,,-13.87900,-6.36000,-20.23900,20.01800,-537.83700,-535.61400,-535.61400,1087.77700,1365.67800,-162.12600,1.59000,669.52800,305.73500,11.32300,-162.12600
2011-12-31,42.343,126.052,2.177,128.229,10.147,0.019,170.591,-849.053,0,2.404,24.819,27.223,-25.664,-847.494,214.844,214.844,646.913,646.913,-145.329,-12.719,703.709,26.806,1.745,-145.329
2011-09-30,52.355,119.232,-10.221,109.011,32.304,14.669,176.035,-646.954,0,-14.179,2.586,-11.593,0.811,-657.736,384.796,384.796,69.186,69.186,-144.321,-20.042,289.619,-192.082,1.767,-144.321
2011-06-30,86.208,114.217,-37.232,76.985,-17.551,-35.382,127.811,-2522.601,0,-3.774,120.7,116.926,2.156,-2403.519,51.295,51.295,33.377,33.073,-143.878,-4.019,-63.529,-2339.237,1.681,-143.878
2011-03-31,31.81000,78.44800,-23.07400,55.37400,-29.64400,26.60300,113.78700,-639.30400,,45.79700,-10.77100,35.02600,-7.10200,-611.38000,1075.18000,1075.18000,1388.11800,2084.85900,-110.72000,-15.30100,3034.01800,2536.42500,5.59300,-110.72000
2010-12-31,46.034,62.366,-15.295,47.071,-19.122,-16.968,76.137,-1188.907,0,-17.845,-20.09,-37.935,-84.947,-1311.789,778.276,778.276,508.873,508.873,-98.666,-2.408,1186.075,-49.577,2.066,-98.666
2010-09-30,0.092,56.707,25.878,82.585,9.834,14.421,97.098,-330.861,0,2.139,-1.316,0.823,-69.072,-399.11,70.1669,70.1669,449.005,449.005,-91.495,0.059,427.736,125.724,1.01,-91.495
2010-06-30,51.064,51.275,1.273,52.548,-4.322,-4.594,99.018,-211.629,0,-41.963,-25.879,-67.842,-29.806,-309.277,299.8531,299.8531,19.769,19.769,-90.03,-0.468,229.124,18.865,1.197,-90.03
2010-03-31,31.69400,46.50800,15.38700,61.89500,-6.92500,-1.10100,92.48800,-123.75200,,5.54500,-6.48500,-0.94000,-167.17100,-291.86300,274.44000,274.44000,17.79100,17.79100,-90.03200,-1.74200,200.45700,1.08200,7.55000,-90.03200
2009-12-31,36.838,45.824,28.588,74.412,-25.167,-20.44,90.81,-111.081,0,-5.744,49.352,43.608,-13.468,-80.941,-8.101,-8.101,20.65,20.65,-89.322,0.027,-76.746,-66.877,0.899,-89.322
2009-09-30,24.686,44.071,34.016,78.087,-7.494,3.343,106.116,-97.797,0,1.34,-6.021,-4.681,-26.388,-128.866,-303.89,-303.89,434.687,434.687,-81.753,-3.446,45.598,22.848,1.075,-81.753
2009-06-30,64.758,44.179,-7.379,36.8,0.664,-11.647,89.911,-67.682,0,-2.475,-8.137,-10.612,-2.039,-80.333,106.486,106.486,25.803,25.803,-81.254,-0.288,50.747,60.325,1.08,-81.254
2009-03-31,66.64500,44.54800,-9.13600,35.41200,-4.07100,-7.63500,94.42200,-98.39200,,137.71200,2.16800,139.88000,-21.40800,20.08000,-257.00200,-257.00200,223.39300,223.39300,-81.51000,-3.57300,-118.69200,-4.19000,6.57900,-81.51000
