,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2012-09-30,69.2,14.4,16.2,30.6,18.2,-12.5,3.5,31.5,131.3,-23.1,0,0,-107.4,-1.4,-108.8,0,-131.9,-9.8,-9.8,1.9,1.9,7.4,-0.5,1.5,10.9
2012-06-30,67.8,14,12.8,26.8,2.7,-3.5,16.2,52.2,146.8,-21.2,-7,0,-15,-0.4,-15.4,0.9,-42.7,5,5,-14.2,-14.2,4.1,-5.1,91,11.2
2012-03-31,65.10000,13.80000,-28.20000,-14.40000,-24.90000,-7.90000,3.70000,-81.40000,-30.70000,-18.00000,,,84.20000,2.20000,86.40000,,68.40000,31.10000,31.10000,-64.60000,-64.60000,30.40000,-3.10000,42.10000,9.20000
2011-12-31,63.1,14.8,22.1,36.9,-15.2,-18.7,14.9,-6.6,93.4,-26,-5.4,0,-76.8,-0.1,-76.9,0,-108.3,-24.4,-24.4,-29.2,-29.2,0,-53.6,-72.8,9
2011-09-30,51.6,13.9,19.5,33.4,9.8,-23.5,15,30.4,115.4,-15.6,0,-3.9,72.9,2,74.9,-0.1,55.3,-0.4,-0.4,-89.1,-89.1,-7.7,-97.2,68.4,10.5
2011-06-30,58.1,14.8,18.4,33.2,-13.4,-8.9,-7.4,-6.8,84.5,-17.2,-2,3.9,-180.1,-0.1,-180.2,0.1,-195.4,23.9,23.9,-63,-63,-4.8,-43.9,-149.6,7.8
2011-03-31,63.90000,14.50000,-10.50000,4.00000,-34.90000,-5.90000,-3.20000,-53.00000,14.90000,-13.90000,-0.30000,-42.60000,-106.30000,5.00000,-101.30000,,-158.10000,105.30000,105.30000,-62.60000,-62.60000,16.80000,59.50000,-70.90000,7.70000
2010-12-31,64.8,15.4,-12.2,3.2,-2.4,6.7,23.3,26,94,-20.2,0,0,-0.1,-2.8,-2.9,0,-23.1,-57.6,-57.6,18.3,18.3,12.7,-26.6,35.1,6.9
2010-09-30,48,13.4,7,20.4,9.3,-15.9,-3.9,28,96.4,-14.9,0,0,0.4,-0.7,-0.3,0,-15.2,-79.6,-79.6,19.7,19.7,3.3,-56.6,40.7,8.6
2010-06-30,57.5,13.7,-4.7,9,-25.5,-14.4,-20.1,-18.5,48,-14.2,0,0,-0.1,-2.4,-2.5,0,-16.7,48.7,48.7,-81.2,-81.2,18.2,-14.3,-0.9,6.3
2010-03-31,47.70000,14.00000,-12.10000,1.90000,-15.60000,-13.20000,7.00000,-36.60000,13.00000,-5.90000,-1.20000,,-0.60000,1.20000,0.60000,,-6.50000,40.10000,40.10000,-64.70000,-64.70000,18.20000,-6.40000,-12.90000,7.50000
2009-12-31,47.6,14.2,-2.3,11.9,0.5,0.8,8.8,6.4,65.9,-18.2,0,0,10.8,-8.5,2.3,0,-15.9,-11.7,-11.7,6.9,6.9,8.7,3.9,46.5,7.8
2009-09-30,73.5,15.4,-45.3,-29.9,10,-5.9,4,27.9,71.5,49.8,0,0,-0.8,4.3,3.5,0,53.3,-14.5,-14.5,-14.4,-14.4,2.6,-26.3,104.5,7.9
2009-06-30,47.5,14.9,-4.9,10,-10.2,-8.6,-4.3,6.4,63.9,-13.6,0,0,-0.1,-0.9,-1,0,-14.6,-10.7,-10.7,-11.2,-11.2,6.4,-15.5,36.4,5.7
2009-03-31,60.50000,14.20000,-15.90000,-1.70000,-51.90000,0.60000,-0.60000,-94.80000,-36.00000,15.90000,,,-0.20000,1.60000,1.40000,,17.30000,-47.70000,-47.70000,-10.10000,-10.10000,3.90000,-53.90000,-72.00000,6.90000
