,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2017-12-31,-39.66,-128.678,-147.468,-276.146,138.267,243.696,-86.481,35.749,341.979,26.173,225.924,0,0,0,0,1.648,227.572,-249.75,-249.75,-9.717,-9.717,2.586,-256.881,-10.552,-34.409
2017-09-30,54.241,45.184,145.154,190.338,-172.054,-16.506,2.09,-25.681,-210.005,34.574,-58.651,0,0,0,0,-1.648,-60.299,113.25,113.25,3.079,3.079,-0.112,116.217,93.315,9.633
2017-06-30,-14.58100,83.49400,2.31400,85.80800,33.78700,-227.19000,84.39100,-10.06800,-131.97400,-60.74700,-167.27300,,,,,,-167.27300,136.50000,136.50000,6.63800,6.63800,-2.47400,140.66400,-82.76300,24.77600
2017-03-31,-2.272,41.076,-2.215,38.861,21.261,19.084,-90.982,-6.588,-69.141,-32.552,-91.79,0,0,0,0,0,-91.79,43.25,43.25,2.782,2.782,-2.474,43.558,-77.332,12.082
2016-12-31,-153.748,-105.382,-92.551,-197.933,342.342,186.472,-68.093,19.702,387.714,36.033,321.666,0,-6.482,0,-6.482,0.858,316.042,-413.537,-413.537,-13.022,-13.022,21.359,-402.273,-50.102,-43.445
2016-09-30,128.224,37.645,0.376,38.021,-267.776,110.182,-77.803,-23.488,-104.363,61.882,-67.36,0,0,0,0,-0.143,-67.503,58.313,58.313,5.422,5.422,0,63.735,58.738,14.822
2016-06-30,25.52400,67.73700,92.17500,159.91200,-74.56600,-296.65400,145.89600,3.78600,-283.35100,-97.91500,-254.30600,,6.48200,,6.48200,-0.71500,-248.53900,355.22400,355.22400,7.60000,7.60000,-21.35900,338.53800,-8.63600,28.62300
2016-03-31,19.18,32.021,45.978,77.999,-136.99,-45.958,-0.976,-15.351,-224.711,-127.532,-104.573,0,1.417,0,1.417,0,-103.156,269.5,269.5,3.954,3.954,-14.943,258.511,27.149,14.403
2015-12-31,-126.971,-72.211,-74.222,-146.433,288.687,357.874,-58.155,52.629,586.8521,313.448,226.733,539.46,11.958,0,11.958,2.67,780.821,-620.473,-620.473,-7.527,-7.527,-39.821,-667.821,433.777,-44.8
2015-09-30,100.477,26.147,38.272,64.419,-203.583,-45.129,-111.976,-31.547,-298.4311,-133.535,-61.248,0,10.193,0,10.193,-0.349,-51.404,188.934,188.934,2.583,2.583,3.096,194.613,10.313,23.504
2015-06-30,26.49400,46.06400,35.95000,82.01400,-85.10400,-312.74500,170.13100,-21.08200,-288.42100,-179.91300,-165.48500,-539.46000,-22.15100,,-22.15100,-2.32100,-729.41700,431.53900,431.53900,4.94400,4.94400,36.72500,473.20800,-444.09000,21.29600
2015-03-31,11.728,21.308,40.527,61.835,-127.439,-50.303,40.066,-39.899,-250.089,-176.526,-68.619,-539.109,-7.113,0,-7.113,-2.494,-617.335,392.645,392.645,2.922,2.922,33.667,429.234,-368.248,9.043
2014-12-31,-120.333,-52.391,-34.935,-87.326,248.256,176.77,-118.236,20.282,280.155,72.496,96.596,10.924,0,0,0,0.724,108.244,-38.725,-38.725,-14.06,-14.06,-31.342,-84.127,98.02,-38.965
2014-09-30,89.105,18.044,18.489,36.533,-195.166,18.636,-57.438,-3.768,-152.468,-26.83,-27.695,0,0,0,0,-0.464,-28.159,-4.989,-4.989,3.864,3.864,6.755,5.63,-50.965,15.105
2014-06-30,31.22800,34.34700,16.44600,50.79300,-53.09000,-195.40600,175.67400,-16.51400,-127.68700,-45.66600,-68.90100,-10.92400,,,,-0.26000,-80.08500,43.71400,43.71400,10.19600,10.19600,24.58700,78.49700,-47.05500,23.86000
2014-03-31,13.538,17.32,9.296,26.616,-121.091,-3.915,7.141,-15.479,-187.69,-147.536,-39.715,-10.924,0,0,0,-0.261,-50.9,-1.265,-1.265,8.627,8.627,24.038,31.4,-167.563,13.22
2013-12-31,-98.164,-36.052,-28.521,-64.573,181.1,186.276,-42.344,7.027,275.078,112.341,62.058,0,0,0,0,2.175,64.233,4.212,4.212,-12.727,-12.727,-13.77,-22.285,155.464,-25.586
2013-09-30,72.784,12.434,19.856,32.29,-143.506,-10.727,-35.3,-2.961,-126.939,-21.865,-22.362,0,0,0,0,0,-22.362,-1.317,-1.317,2.989,2.989,4.315,5.987,-37.465,6.708
2013-06-30,25.38000,23.61800,8.66500,32.28300,-37.59400,-175.54900,77.64400,-4.06600,-148.13900,-90.47600,-39.69600,,,,,-2.17500,-41.87100,-2.89500,-2.89500,9.73800,9.73800,9.45500,16.29800,-117.99900,18.87800
2013-03-31,7.814,11.842,10.519,22.361,-76.018,-4.323,-10.558,9.559,-104.711,-74.536,-18.329,0,0,0,0,0,-18.329,-1.443,-1.443,4.67,4.67,4.222,7.449,-86.119,11.908
2012-12-31,-78.646,-31.755,-9.587,-41.342,180.065,-12.593,-10.205,-2.461,126,6.012,37.55,0,0,0,0,0.166,37.716,5.49,5.49,-13.193,-13.193,-16.219,-23.922,18.337,-15.155
2012-09-30,57.317,11.041,3.551,14.592,-137.426,70.165,-34.338,4.002,-51.086,20.823,-13.99,0,0,0,0,0.23,-13.76,-1.652,-1.652,3.341,3.341,3.526,5.215,14.119,4.805
2012-06-30,21.32900,20.71400,6.03600,26.75000,-42.63900,-57.57200,44.54300,-1.54100,-74.91400,-26.83500,-23.56000,,,,,-0.39600,-23.95600,-3.83800,-3.83800,9.85200,9.85200,12.69300,18.70700,-32.45600,10.35000
