,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2015-06-30,9.296,11.266,-7.822,3.444,-5.518,-1.01,2.576,-2.074,0.65,13.39,-2.196,0,-24.495,0,-24.495,-26.691,0,0,33.778,33.778,-2.618,31.16,17.859,17.592
2015-03-31,-18.35900,11.83500,13.72500,25.56000,-11.67100,0.00100,2.12400,-3.43100,-11.78700,-4.58600,-3.55300,,-15.19300,-39.82900,-55.02200,-58.57500,,,29.18000,29.18000,3.50600,32.68600,-30.47500,17.55800
2014-12-31,-36.943,12.221,15.999,28.22,51.666,-1.505,-2.143,-24.003,53.443,44.72,-5.855,0,2.337,0,2.337,-3.518,0,0,28.693,28.693,0.404,29.097,70.293,15.903
2014-09-30,59.292,9.871,15.323,25.194,-62.394,-2.071,-0.646,-2.426,-56.699,27.787,-10.659,0,-48.032,0,-48.032,-58.691,0,0,6.539,6.539,0.105,6.644,-24.26,15.428
2014-06-30,-36.873,9.698,15.478,25.176,-0.811,-0.011,9.301,-8.811,-2.86,-14.557,-8.699,0,-19.844,0,-19.844,-28.543,0,0,12.779,12.779,0,12.779,-30.321,15.478
2014-03-31,-33.95700,9.62300,15.64300,25.26600,-11.02000,-0.50600,-1.15200,-8.11700,-23.00300,-31.69400,-2.66300,,-45.02400,,-45.02400,-47.68700,,,44.83300,44.83300,-0.29600,44.53700,-34.84400,15.34700
2013-12-31,-42.871,8.852,27.763,36.615,-2.177,-0.036,0.89,-18.224,-5.433,-11.689,-2.031,0,-17.903,0,-17.903,-19.934,228.702,228.702,17.236,17.236,-15.008,230.93,199.307,9.821
2013-09-30,-22.036,4.568,10.938,15.506,-5.675,-3.764,4.741,-17.572,-5.42,-11.95,-0.789,0,-0.214,0,-0.214,-1.003,0,0,28.364,28.364,-1.491,26.873,13.92,9.447
2013-06-30,-2.571,8.053,19.719,27.772,0.519,-2.213,-2.044,-12.427,-17.12,8.081,-0.553,0,-15.149,0,-15.149,-15.702,0,0,9.78,9.78,-9.771,0.009,-7.612,9.933
2013-03-31,-15.66900,7.73400,9.18200,16.91600,42.91000,-0.57700,1.55400,-17.57600,23.49100,24.73800,-0.89400,,0.13600,,0.13600,-0.75800,,,17.77700,17.77700,,17.77700,41.75700,9.19700
2012-12-31,18.779,7.765,8.515,16.28,-54.411,-3.545,1.197,-8.196,-57.067,-22.008,-0.93,0,0.43,0,0.43,-0.5,0,0,7.482,7.482,0,7.482,-15.026,9.067
2012-09-30,-21.71,7.576,9.583,17.159,-2.699,-0.876,1.662,-25.811,-22.594,-27.145,-0.406,0,0.157,0,0.157,-0.249,0,0,8.914,8.914,0,8.914,-18.48,9.583
2012-06-30,4.037,7.404,9.911,17.315,-0.831,-0.819,-2.072,-5.332,-12.628,8.724,-1.007,0,0.097,0,0.097,-0.91,0,0,17.894,17.894,0,17.894,25.708,9.911
2012-03-31,-45.42600,7.23400,9.93200,17.16600,-6.59500,0.02300,-1.76500,-13.02800,-26.14100,-54.40100,-0.49600,,0.16700,,0.16700,-0.32900,,,13.42100,13.42100,,13.42100,-41.30900,9.93200
2011-12-31,-55.079,7.042,7.524,14.566,-3.953,-3.536,3.901,-4.212,0.734,-39.779,-0.992,0,-0.147,0,-0.147,-1.139,0,0,1.754,1.754,0,1.754,-39.164,7.447
2011-09-30,-53.078,6.871,7.399,14.27,-0.086,0,2.25,-18.377,-8.17,-46.978,-1.18,0,0.339,0,0.339,-0.841,0,0,1.073,1.073,0,1.073,-46.746,7.399
2011-06-30,-51.871,6.647,7.32,13.967,14.203,0,0.997,-7.393,7.168,-30.736,-1.075,0,0.53,0,0.53,-0.545,0,0,12.512,12.512,0,12.512,-18.769,7.191
2011-03-31,-26.51200,6.43000,6.83700,13.26700,-10.87800,,-2.98200,-16.81200,-30.97700,-44.22200,-0.55200,,0.57600,,0.57600,0.02400,,,4.12900,4.12900,,4.12900,-40.06900,6.94600
2010-12-31,32.541,6.826,3.824,10.65,-0.966,0,3.023,-10.86,-15.788,27.403,-2.739,0,0.898,0,0.898,-1.841,0,0,3.546,3.546,0,3.546,29.108,4.121
2010-09-30,-31.702,5.378,4.054,9.432,1.625,0,-1.408,-15.615,-7.252,-29.522,-0.466,0,1.321,0,1.321,0.855,0,0,3.383,3.383,0,3.383,-25.284,4.059
2010-06-30,3.044,5.885,3.41,9.295,-1.107,0,-4.146,-6.602,-15.105,-2.766,-0.598,0,10.272,0,10.272,9.674,0,0,2.434,2.434,0,2.434,9.342,3.555
2010-03-31,-35.72900,6.39600,6.99400,13.39000,158.40800,,-7.66000,-18.40800,125.16200,102.82300,-0.30600,,6.82200,,6.82200,6.51600,-158.64400,-158.64400,4.22700,4.22700,,-154.41700,-45.07800,3.12100
2009-12-31,-88.442,7.272,36.641,43.913,-162.8,0,6.788,306.301,163.114,118.585,-0.074,0,3.516,0,3.516,3.442,-40.1,-40.1,0.482,0.482,-0.056,-39.674,82.346,1.927
2009-09-30,-43.357,4.273,8.689,12.962,-0.054,0,-1.664,-0.133,-3.445,-33.84,-0.134,0,6.129,0,6.129,5.995,204.18,204.18,133.021,133.021,-56.167,281.034,253.189,2.196
2009-06-30,-40.035,2.636,4.158,6.794,-0.068,0,0.756,2.533,3.589,-29.652,-0.084,0,4.033,0,4.033,3.949,0,0,0.894,0.894,0,0.894,-24.809,2.497
2009-03-31,-40.03600,2.50900,3.86900,6.37800,0.31100,,-0.59500,0.39000,-9.07700,-42.73500,-0.09500,,3.16100,,3.16100,3.06600,,,,,,,-39.66900,3.36000
