,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2014-05-31,169.65300,27.34300,53.54800,80.89100,-17.88700,-40.37600,-441.78500,-459.62400,-209.08000,-53.70900,,-5.80100,-5.80100,-34.60900,-94.11900,374.32700,0.66000,374.98700,-171.80400,-171.80400,4.30600,207.48900,-95.71000,15.38800
2014-02-28,99.209,27.928,64.504,92.432,-11.896,-85.147,-330.319,-311.664,-120.023,-97.465,0,0.384,0.384,-10.901,-107.982,273.742,-0.705,273.037,-91.467,-91.467,9.578,191.148,-36.857,11.532
2013-11-30,106.452,24.823,53.082,77.905,17.522,-192.261,-254.769,-413.888,-229.531,-76.462,0,-5.595,-5.595,2.043,-80.014,235.6058,-0.452,235.1539,-12.256,-12.256,1.373,224.271,-85.274,16.946
2013-08-31,140.274,24.825,33.494,58.319,-15.097,34.184,-389.264,-384.623,-186.03,-93.86,0,-0.187,-0.187,-8.126,-102.173,355.9412,0.767,356.7081,-45.514,-45.514,1.774,312.968,24.765,15.061
2013-05-31,146.65100,24.33500,49.88000,74.21500,21.50900,119.61300,-440.10000,-298.44500,-77.57900,-37.43500,,0.15200,0.15200,-9.22900,-46.51200,508.46900,0.61700,509.08600,-119.01100,-119.01100,9.91900,399.99400,275.90300,22.94100
2013-02-28,107.221,24.562,74.014,98.576,-29.301,-178.769,-379.031,-485.01,-279.213,-50.765,0,-0.282,-0.282,-25.012,-76.059,470.909,-0.351,470.558,-118.404,-118.404,7.372,359.526,4.254,15.515
2012-11-30,94.681,24.279,29.07,53.349,7.766,-141.031,-257.864,-361.326,-213.296,-81.024,0,-0.282,-0.282,4.598,-76.708,295.8249,-0.362,295.4629,-25.814,-25.814,6.898,276.547,-13.457,16.391
2012-08-31,111.636,23.46,20.195,43.655,-4.721,12.183,-208.337,-325.703,-170.412,-56.282,0,-2.086,-2.086,-23.72,-82.088,252.3801,0.277,252.6571,1.68,1.68,0.317,254.654,2.154,14.614
2012-05-31,120.74600,22.98200,32.47100,55.45300,20.72900,-117.60400,-187.20300,-291.71900,-115.52000,-47.63600,,-0.92700,-0.92700,28.14400,-20.41900,137.80400,-0.15200,137.65200,2.52900,2.52900,9.51300,149.69400,13.75500,15.59200
2012-02-29,95.031,22.116,50.97,73.086,-31.912,-79.409,-190.104,-236.614,-68.497,-66.618,0,-0.544,-0.544,-33.705,-100.867,215.6311,0.184,215.8151,10.538,10.538,2.258,228.611,59.247,10.941
2011-11-30,82.11,21.242,17.454,38.696,10.327,48.126,-117.424,-38.549,82.257,-25.765,0,-0.265,-0.265,-18.368,-44.398,163.3891,-0.574,162.815,0.677,0.677,0.147,163.639,201.498,10.845
2011-08-31,111.154,19.825,18.309,38.134,20.209,55.032,-242.342,-250.116,-100.828,-49.179,0,-2.455,-2.455,16.976,-34.658,153.4439,0.161,153.6049,6.494,6.494,1.297,161.396,25.91,11.293
2011-05-31,125.50000,19.62900,22.58000,42.20900,34.53900,-66.86400,-151.40000,-142.80500,24.90400,-31.04600,,,,-8.43300,-39.47900,125.40410,0.17000,125.57410,-2.13200,-2.13200,6.01500,129.45700,114.88200,15.01000
2011-02-28,86.127,32.664,23.146,55.81,-53.552,-46.495,-65.96,-126.2069,15.73,-38.044,0,0,0,3.425,-34.619,-22.6331,0.325,-22.3081,6.332,6.332,1.595,-14.381,-33.27,10.006
2010-11-30,82.364,14.609,24.385,38.994,-0.063,-73.812,-38.005,-134.38,-13.022,-23.296,0,4,4,2.552,-16.744,18.5511,0.112,18.6631,25.558,25.558,4.773,48.994,19.228,11.643
2010-08-31,107.885,14.616,12.672,27.288,18.916,-34.505,-134.407,-200.247,-65.074,-6.078,0,0,0,-19.112,-25.19,130.0201,0.412,130.4321,1.032,1.032,0.255,131.719,41.455,8.496
2010-05-31,101.11900,14.43200,29.78800,44.22000,-5.83900,-51.53200,-56.50900,-89.73100,55.60800,-9.15400,,0.00100,0.00100,13.49400,4.34100,-71.43200,-0.73000,-72.16200,5.35500,5.35500,2.28800,-64.51900,-4.57000,13.46100
2010-02-28,71.536,31.281,16.458,47.739,-31.12,-91.836,-37.984,-116.23,3.045,-3.479,0,0,0,0,-3.479,-6.278,0.693,-5.585,7.989,7.989,1.096,3.5,3.066,7.161
2009-11-30,74.589,14.368,46.149,60.517,10.796,38.784,-30.586,-27.34,107.766,-4.015,0,0,0,0,-4.015,-230.837,-1.747,-232.584,19.499,19.499,2.199,-210.886,-107.135,8.043
2009-08-31,102.971,14.547,15.434,29.981,-4.418,-8.996,-55.349,-104.824,28.128,-8.666,0,-0.181,-0.181,0.447,-8.4,-38.806,0.742,-38.064,6.556,6.556,0.547,-30.961,-11.233,10.161
2009-05-31,28.74800,15.03200,-10.21500,4.81700,1.18400,-77.92800,-107.66400,-112.98200,-79.41700,-5.61200,,0.18500,0.18500,,-5.42700,80.20800,0.31700,80.52500,-2.73700,-2.73700,0.03900,77.82700,-7.01700,12.49300
2009-02-28,59.213,54.741,4.662,59.403,-2.648,272.62,-83.721,145.975,264.591,-151.359,0,-3.987,-3.987,0,-155.346,27.973,-20.139,7.834,10.162,10.162,0.391,18.387,127.632,35.436
