,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2016-09-30,283.7,28.1,62.5,90.6,0,0,200.7,161,535.3,-20.9,-82.2,0,-35.8,-35.8,53.5,-85.4,-27.2,-27.2,0,0,-29.8,3.5,-53.5,396.4,12.2,-29.8
2016-06-30,249.8,15.1,35.3,50.4,0,0,-370.5,-238.5,61.7,-24.8,0,0,35.8,35.8,-31.5,-20.5,-364.6,-364.6,0,0,-29.7,35.8,-358.5,-317.3,12.5,-29.7
2016-03-31,195.1,15.4,29.8,45.2,0,0,-220.3,-211.9,28.4,-20.3,0,0,0,0,35.8,15.5,-72,-72,0,0,-29.6,13.1,-88.5,-44.6,13.9,-29.6
2015-12-31,157.70000,15.00000,23.60000,38.60000,,,-145.10000,-197.80000,-1.50000,-20.10000,,,,,-2.10000,-22.20000,-81.00000,-81.00000,,,-29.60000,19.20000,-91.40000,-115.10000,10.40000,-29.60000
2015-09-30,238.9,25.7,14.2,39.9,0,0,194.1,233,511.8,43.2,-2.2,0,14.8,14.8,-16.4,39.4,7.2,7.2,0,0,-23,42.8,27,578.2,10.5,-23
2015-06-30,221.4,15.7,27.4,43.1,0,40.4,31.1,92.9001,357.4,-19.3,-68.7,0,-14.8,-14.8,-2.7,-105.5,-124.7,-124.7,0,0,-22.9,3.6,-144,107.9,9.3,-22.9
2015-03-31,147.9,14.5,23.2,37.7,0,-40.4,-228.5,-225.4001,-39.8,-12.7,0,0,0,0,-2.7,-15.4,212.9,212.9,0,0,-22.9,21.9,211.9,156.7,11,-22.9
2014-12-31,142.50000,13.60000,28.50000,42.10000,,,-270.10000,-313.60000,-129.00000,-11.30000,,,,,-2.60000,-13.90000,39.10000,39.10000,,,-22.80000,5.80000,22.10000,-120.80000,11.40000,-22.80000
2014-09-30,166.2,13.8,44.5,58.3,0,0,-429.7,-312.2,-87.7,-50.3,-21.4,0,0,0,7.3,-64.4,218.3,218.3,0,0,-22.8,1.1,196.6,44.5,8.6,-22.8
2014-06-30,113.2,14.5,51,65.5,0,119.7,-604.7,-486.6,-307.9,-17.1,-188.2,0,0,0,58.6,-146.7,79,79,0,0,-13.7,13.2,78.5,-376.1,6.8,-13.7
2014-03-31,130.9,19.4,17.5,36.9,0,-105.6,-320.3,-425.9,-258.1,-14.5,0,0,0,0,0.8,-13.7,389.2,389.2,0,0,-12.1,27.3,404.4,132.6,5.4,-12.1
2013-12-31,123.20000,18.10000,15.20000,33.30000,,-14.10000,-150.10000,-164.20000,-7.70000,-18.30000,-34.50000,,,,-4.50000,-57.30000,-55.80000,-55.80000,,,,4.20000,-51.60000,-116.60000,5.40000,
2013-09-30,139.5,16.7,77.7,94.4,0,139.5,-323.8,-326.9,-93,-17.4,0,0,0,0,-10.7,-28.1,412.9,412.9,0,0,0,8.5,421.4,300.3,5.9,0
2013-06-30,145.9,15.7,47.1,62.8,0,0,-584.8,-504.7,-296,-15.3,0,0,1.4,1.4,-15.1,-29,-197.7,-197.7,0,0,0,10.2,-187.5,-512.5,5.5,0
2013-03-31,111,14.8,9.5,24.3,0,0,-394.4,-319.1,-183.8,-11.3,0,96.6,0,96.6,0.5,85.8,666,666,0,0,0,15.6,681.6,583.6,4.1,0
2012-12-31,66.30000,15.20000,39.80000,55.00000,,,-779.40000,-777.80000,-656.50000,-14.00000,-9.40000,199.90000,,199.90000,-24.30000,152.20000,81.60000,81.60000,,,-60.20000,2.10000,23.50000,-480.80000,3.50000,-60.20000
2012-09-30,100.1,14.9,12.5,27.4,0,0,-314.9,-245.7,-118.2,-9.8,-96.5,-16.1,0,-16.1,-9.3,-131.7,385.3,385.3,0,0,-12,20.6,393.9,144,3.8,-12
2012-06-30,787.9,14.8,-710,-695.2,0,2,-232.2,-187.3,-94.6,-18.3,0,13.4,0,13.4,-0.8,-5.7,328.7,328.7,0,0,-12,8.7,325.4,225.1,4.2,-12
2012-03-31,40.6,14.7,5.7,20.4,0,-2,-180.6,-138.7,-77.7,-3.1,0,-2.4,0,-2.4,2.3,-3.2,17.5,17.5,0,0,-11.9,17,22.6,-58.3,5.1,-11.9
2011-12-31,27.70000,14.80000,6.30000,21.10000,,,-6.10000,-50.50000,-1.70000,-2.40000,,-2.90000,,-2.90000,2.90000,-2.40000,16.90000,16.90000,,,-11.90000,4.60000,9.60000,5.50000,5.00000,-11.90000
2011-09-30,35.8,14.6,17.2,31.8,0,102.3,24.5,26.6,94.2,-3.5,0,-2.6,0,-2.6,-2.7,-8.8,-182.6,-182.6,0,0,-11.9,0.7,-193.8,-108.4,4.3,-11.9
2011-06-30,28.6,14.5,19.7,34.2,0,-102.3,-148,-117,-54.2,-4.6,0,-6.8,0,-6.8,-5.4,-16.8,-120.1,-120.1,-38.6,-38.6,-11.9,1.5,-169.1,-240.1,3.3,-11.9
2011-03-31,27.8,14.1,20.2,34.3,0,0,-54.1,-132.7,-70.6,-4.5,0,2.8,0,2.8,1.2,-0.5,-57.6,-57.6,0,0,-12,0.7,-68.9,-140,3.2,-12
2010-12-31,-20.40000,13.90000,13.20000,27.10000,,,95.50000,42.80000,49.50000,-3.70000,,-1.00000,,-1.00000,7.50000,2.80000,-129.00000,-129.00000,,,-12.00000,0.50000,-140.50000,-88.20000,3.40000,-12.00000
2010-09-30,-8.8,13.4,32.7,46.1,0,-7,131.8,85,122.3,-3.6,0,-0.9,0,-0.9,5.1,0.6,-197.1,-197.1,0,0,-11.9,2.9,-206.1,-83.2,3.6,-11.9
2010-06-30,50.5,12.4,41.8,54.2,0,-28.6,86.4,54.6,159.3,-7.9,0,-100.3,0,-100.3,-8.5,-116.7,-278.3,-278.3,0,0,-12,0.6,-289.7,-247.1,3.2,-12
2010-03-31,11.4,11.6,5.7,17.3,0,51.7,-224.9,179.1,207.8,-5.2,0,-199.1,0,-199.1,2.8,-201.5,-293,-293,0,0,-11.9,2,-302.9,-296.6,3.3,-11.9
2009-12-31,192.00000,11.80000,-0.10000,11.70000,,-16.10000,121.00000,16.30000,220.00000,-2.50000,,0.00000,,,2.10000,-0.40000,-233.70000,-233.70000,,,-11.90000,4.90000,-240.70000,-21.10000,3.20000,-11.90000
2009-09-30,-234.9,9.4,362.4,371.8,0,162.6,10,-97.7,39.2,0,0,0,0,0,6.8,6.8,-81.2,-81.2,0,0,-11.9,2.1,-91,-45,3.7,-11.9
2009-06-30,-143.8,8.9,166.4,175.3,0,12,151,92.6,124.1,-1.7,0,0,0,0,-60.7,-62.4,436.4,436.4,0,0,-11.8,0.8,425.4,487.1,3.6,-11.8
2009-03-31,-171.1,18.3,102.2,120.5,0,-174.6,581.4,1028.5,977.9,-4.5,0,0,0,0,0.7,-3.8,-823.9,-823.9,0,0,-23.8,1.5,-846.2,127.9,6.4,-23.8
