,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2011-12-31,3418.00000,1417.00000,1283.00000,312.00000,7207.00000,888.00000,3514.00000,537.00000,4939.00000,12146.00000,1840.00000,1751.00000,872.00000,2623.00000,4463.00000,38.00000,6479.00000,144.00000,7683.00000,12146.00000
2011-09-30,3213.00000,1319.00000,1297.00000,327.00000,6931.00000,888.00000,3496.00000,161.00000,5152.00000,12083.00000,1562.00000,1755.00000,1209.00000,2964.00000,4526.00000,38.00000,6240.00000,272.00000,7557.00000,12083.00000
2011-06-30,2675.00000,1348.20000,1284.40000,416.50000,6502.70000,886.00000,3425.70000,161.90000,5093.70000,11596.40000,1603.50000,996.70000,1218.20000,2214.90000,3818.40000,38.80000,6254.10000,484.30000,7778.00000,11596.40000
2011-03-31,2885.90000,1310.30000,1220.50000,343.50000,6501.20000,845.00000,3165.50000,160.00000,4729.80000,11231.00000,1586.80000,996.60000,1195.20000,2191.80000,3778.60000,38.80000,6014.80000,416.30000,7452.40000,11231.00000
2010-12-31,4380.00000,1252.00000,1057.00000,290.00000,7632.00000,798.00000,1775.00000,151.00000,3263.00000,10895.00000,1605.00000,996.00000,1120.00000,2116.00000,3721.00000,39.00000,6017.00000,154.00000,7174.00000,10895.00000
2010-09-30,4514.60000,1158.60000,1035.30000,218.00000,7543.70000,931.60000,1604.50000,144.40000,3228.20000,10771.90000,1406.00000,996.40000,1063.50000,2059.90000,3465.90000,39.70000,6091.20000,209.80000,7306.00000,10771.90000
2010-06-30,4028.50000,1108.20000,968.20000,195.40000,6899.80000,898.70000,1586.90000,136.40000,3160.30000,10060.10000,1295.10000,996.30000,1023.20000,2019.50000,3314.60000,39.70000,5813.10000,-51.80000,6745.50000,10060.10000
2010-03-31,3937.60000,1120.60000,961.00000,239.40000,6875.40000,925.00000,1617.50000,135.80000,3223.00000,10098.40000,1404.80000,996.20000,1026.60000,2022.80000,3427.60000,39.70000,5553.70000,152.00000,6670.80000,10098.40000
2009-12-31,2954.80000,1147.10000,943.00000,204.10000,5851.20000,947.60000,1591.50000,136.70000,3220.10000,9071.30000,1441.00000,,1035.20000,1035.20000,2476.20000,39.80000,5397.40000,258.00000,6595.10000,9071.30000
2009-09-30,2929.40000,1113.50000,977.30000,146.30000,5761.80000,954.10000,954.90000,296.40000,2697.40000,8459.20000,1198.00000,,820.30000,820.30000,2018.30000,39.80000,5190.90000,326.60000,6440.90000,8459.20000
2009-06-30,2427.90000,1097.30000,991.70000,152.80000,5240.30000,950.30000,942.00000,299.50000,2683.20000,7923.50000,1075.10000,,790.90000,790.90000,1866.00000,39.70000,4961.90000,189.00000,6057.50000,7923.50000
2009-03-31,2245.10000,1054.80000,990.20000,157.10000,4999.90000,944.30000,909.50000,237.00000,2585.30000,7585.20000,1181.80000,,778.30000,778.30000,1960.10000,39.70000,4670.60000,69.30000,5625.10000,7585.20000
