,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2013-09-30,450.40000,1976.70000,706.10000,121.10000,182.30000,3439.10000,8974.00000,1195.50000,2371.10000,393.50000,14411.00000,17850.10000,3227.60000,5056.30000,1164.30000,7423.60000,10651.20000,249.40000,9646.40000,-1020.60000,7198.90000,17850.10000
2013-06-30,418.80000,2044.30000,705.90000,137.10000,166.20000,3480.70000,8665.70000,1203.30000,2332.00000,348.30000,14010.60000,17491.30000,3357.70000,4648.20000,1707.50000,7442.20000,10799.90000,249.40000,9660.10000,-1433.30000,6691.40000,17491.30000
2013-03-31,401.60000,1907.00000,728.10000,100.10000,229.30000,3379.20000,8488.80000,1198.20000,2330.00000,373.30000,13842.00000,17221.20000,3221.60000,4644.70000,1723.50000,7482.20000,10703.80000,249.40000,9521.40000,-1377.10000,6517.40000,17221.20000
2012-12-31,545.60000,1917.70000,746.50000,125.50000,214.30000,3563.10000,8482.30000,1185.20000,2365.50000,360.10000,13830.00000,17393.10000,2966.90000,5107.30000,1752.80000,7975.00000,10941.90000,249.40000,9379.70000,-1245.40000,6451.20000,17393.10000
2012-09-30,454.40000,1886.70000,786.60000,81.70000,190.80000,3415.80000,8240.60000,1175.70000,2360.00000,393.60000,13526.00000,16941.80000,2689.90000,4584.20000,1980.90000,7628.60000,10318.50000,249.40000,9234.50000,-1348.80000,6623.30000,16941.80000
2012-06-30,361.20000,1718.80000,699.50000,75.00000,162.70000,3033.10000,7708.10000,1135.00000,1284.70000,444.20000,11847.80000,14880.90000,2135.40000,3795.50000,1627.20000,6098.10000,8233.50000,249.40000,9232.60000,-1253.80000,6647.40000,14880.90000
2012-03-31,319.50000,1755.10000,696.00000,105.20000,149.80000,3342.90000,7644.90000,1051.50000,1107.80000,367.20000,11612.90000,14955.80000,2539.40000,3879.80000,1453.70000,6009.00000,8548.40000,249.40000,8882.60000,-1128.10000,6407.40000,14955.80000
2011-12-31,407.30000,1823.90000,704.10000,85.00000,155.90000,3176.20000,7525.90000,1007.20000,1127.30000,448.00000,11215.10000,14391.30000,2337.20000,3884.20000,1513.30000,5997.00000,8334.20000,249.40000,8723.80000,-1275.60000,6057.10000,14391.30000
2011-09-30,421.40000,1361.60000,670.20000,77.50000,415.90000,3189.80000,7222.70000,1011.60000,1056.70000,478.20000,11100.90000,14290.70000,2342.00000,3927.50000,1500.00000,6010.00000,8352.00000,249.40000,8599.50000,-1253.40000,5938.70000,14290.70000
2011-06-30,430.10000,1960.30000,639.60000,101.20000,145.30000,3276.50000,7524.20000,1035.60000,1264.10000,403.00000,11175.00000,14451.50000,2103.80000,4054.30000,1425.60000,5950.70000,8054.50000,249.40000,8397.40000,-865.40000,6397.00000,14451.50000
2011-03-31,270.30000,1606.10000,597.20000,112.60000,390.30000,2976.50000,7361.80000,979.30000,1234.30000,386.40000,10844.20000,13820.70000,2211.30000,3711.80000,1492.20000,5610.20000,7821.50000,249.40000,8195.20000,-982.20000,5999.20000,13820.70000
2010-12-31,247.20000,1485.70000,584.50000,70.30000,482.50000,2870.20000,7157.50000,912.00000,1189.30000,520.00000,10589.50000,13459.70000,1937.10000,3617.40000,1535.70000,5545.40000,7482.50000,249.40000,8014.60000,-1107.30000,5977.20000,13459.70000
2010-09-30,374.30000,1854.00000,571.60000,70.30000,163.60000,3033.80000,7051.30000,912.80000,1200.30000,537.30000,10472.10000,13505.90000,2244.10000,3659.80000,1569.30000,5564.20000,7808.30000,249.40000,7852.20000,-1159.40000,5697.60000,13505.90000
2010-06-30,405.30000,1847.50000,499.20000,72.80000,120.60000,2945.40000,6770.80000,856.90000,1106.40000,581.80000,10054.00000,12999.40000,2312.80000,3366.40000,,5314.70000,7627.50000,249.40000,7685.50000,-1230.50000,5371.90000,12999.40000
2010-03-31,230.90000,1865.50000,504.70000,109.80000,111.10000,2822.00000,6941.50000,893.60000,1207.60000,540.40000,10330.60000,13152.60000,2345.70000,3468.50000,,5388.60000,7734.30000,249.40000,7537.00000,-1054.40000,5418.30000,13152.60000
2009-12-31,323.00000,1664.40000,522.60000,136.80000,132.20000,2783.20000,6945.20000,878.20000,1171.70000,418.50000,10131.30000,12914.50000,2144.90000,3705.10000,,5585.50000,7730.40000,249.40000,7389.80000,-1115.20000,5184.10000,12914.50000
2009-09-30,488.20000,1363.20000,509.60000,99.70000,537.10000,2997.80000,6859.60000,868.10000,1178.60000,438.00000,10031.30000,13029.10000,2503.60000,3715.60000,,5595.50000,8099.10000,249.40000,7234.60000,-1161.80000,4930.00000,13029.10000
2009-06-30,70.30000,1778.20000,495.80000,96.00000,115.30000,2571.10000,6675.00000,820.60000,1124.10000,478.90000,9672.40000,12243.50000,1792.80000,3755.80000,,5522.40000,7315.20000,249.40000,7086.60000,-803.60000,4928.30000,12243.50000
2009-03-31,79.70000,1668.80000,506.60000,172.20000,123.70000,2596.40000,6410.10000,756.50000,1026.20000,550.30000,9282.50000,11878.90000,1996.30000,3456.60000,,5244.50000,7240.80000,249.40000,7068.70000,-1051.00000,4638.10000,11878.90000
